,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
0,932,PH,0.036,0.0417,0.0551,0.0726,0.0687,0.0663,0.0668,0.0637,0.1182,0.265,0.3206,0.3669,0.388,0.4296,0.4169,0.3757,0.4072,0.4161,0.3893,0.1658,0.1978,0.2227,0.252,0.2625,0.2687,0.2461,0.1057,0.1184,0.1342,0.1444,0.1153,0.1016
1,3234,PH,0.0198,0.0183,0.032,0.0482,0.0386,0.0287,0.0231,0.0183,0.0805,0.4212,0.5735,0.6286,0.6029,0.6728,0.6278,0.4936,0.5469,0.5477,0.486,0.1298,0.169,0.2003,0.232,0.2427,0.2481,0.2137,0.0473,0.0706,0.0835,0.0958,0.0773,0.062
2,1798,PH,0.0182,0.0186,0.0445,0.0663,0.0544,0.0428,0.0315,0.0196,0.1027,0.4178,0.5761,0.6114,0.5672,0.6224,0.5837,0.4502,0.5021,0.4988,0.4412,0.1077,0.1463,0.1791,0.2094,0.2201,0.2214,0.1911,0.0347,0.0583,0.0715,0.0811,0.0608,0.0476
3,1094,PH,0.013,0.0149,0.0299,0.045,0.0358,0.0283,0.0205,0.013,0.068,0.259,0.3426,0.3701,0.3526,0.3889,0.3657,0.2928,0.322,0.3239,0.2891,0.0802,0.105,0.1258,0.1453,0.151,0.1536,0.1339,0.0303,0.0453,0.0554,0.0631,0.0492,0.0403
4,3846,PH,0.0084,0.007,0.0125,0.0178,0.0135,0.0108,0.0085,0.0047,0.0238,0.1461,0.2155,0.2325,0.2199,0.2508,0.2372,0.1741,0.191,0.1983,0.1765,0.0341,0.0459,0.0591,0.0706,0.0753,0.0765,0.0659,0.0102,0.0175,0.0226,0.0271,0.0194,0.0169
5,70,PH,0.0089,0.0082,0.0109,0.0138,0.0113,0.0087,0.0068,0.0059,0.0165,0.0748,0.1083,0.1288,0.1331,0.1505,0.1457,0.1174,0.1278,0.1336,0.1222,0.0363,0.0438,0.0539,0.0608,0.0646,0.0637,0.058,0.018,0.0249,0.0291,0.0316,0.0259,0.0209
6,4166,PH,0.0274,0.0268,0.0547,0.0882,0.0674,0.0502,0.037,0.0262,0.1452,0.7409,0.991,1.0672,1.0139,1.114,1.0447,0.8375,0.9084,0.9098,0.8073,0.2417,0.312,0.3695,0.4215,0.44,0.447,0.3933,0.0887,0.1348,0.1618,0.1821,0.1438,0.115
7,2914,PH,0.0145,0.0162,0.0328,0.0492,0.0409,0.0335,0.0271,0.0187,0.0805,0.3546,0.4599,0.4935,0.4651,0.5122,0.4909,0.3845,0.4166,0.4227,0.3825,0.0948,0.1228,0.149,0.1734,0.1808,0.1874,0.164,0.0375,0.0543,0.0658,0.0722,0.0584,0.0471
8,3874,PH,0.028,0.0274,0.0374,0.05,0.041,0.0336,0.0287,0.0236,0.0718,0.416,0.5858,0.6211,0.596,0.6547,0.6125,0.492,0.5416,0.5422,0.4851,0.1358,0.1765,0.214,0.2465,0.2572,0.2621,0.2291,0.0498,0.0776,0.0917,0.107,0.0826,0.0667
9,4550,PH,0.0183,0.0192,0.0352,0.0532,0.0412,0.0318,0.0233,0.0159,0.0752,0.3884,0.5141,0.5478,0.5131,0.5692,0.5343,0.4078,0.4455,0.4502,0.3988,0.0894,0.1209,0.1508,0.1787,0.19,0.194,0.1692,0.0299,0.0494,0.0641,0.0737,0.0566,0.0456
10,3526,PH,0.0191,0.0198,0.0313,0.0439,0.0354,0.0286,0.0228,0.0169,0.0574,0.2739,0.3746,0.3965,0.3653,0.4095,0.384,0.285,0.3131,0.3157,0.2765,0.061,0.0822,0.1035,0.121,0.129,0.1319,0.1148,0.0225,0.0353,0.0441,0.0521,0.04,0.0325
11,802,PH,0.018,0.0174,0.0324,0.0458,0.0367,0.0289,0.0214,0.0153,0.0634,0.3282,0.4479,0.4763,0.4429,0.4948,0.4625,0.3431,0.3829,0.3879,0.3365,0.0824,0.1106,0.1362,0.1579,0.168,0.1726,0.1497,0.0289,0.0483,0.0619,0.069,0.0521,0.0429
12,2950,PH,0.0161,0.0159,0.0271,0.0417,0.0331,0.026,0.0209,0.0157,0.0679,0.3603,0.4867,0.5264,0.4985,0.5555,0.5214,0.3999,0.4363,0.4372,0.3876,0.1012,0.1315,0.159,0.1818,0.1911,0.1964,0.1717,0.0353,0.0536,0.0656,0.0745,0.0587,0.0454
13,3718,PH,0.0181,0.0187,0.0319,0.0454,0.0355,0.0284,0.0225,0.0157,0.0635,0.3787,0.5282,0.5605,0.5256,0.5832,0.5472,0.417,0.4533,0.4588,0.4098,0.0944,0.1264,0.1579,0.1863,0.1972,0.2001,0.1761,0.0292,0.0506,0.0659,0.0762,0.0565,0.0436
14,2850,PH,0.0276,0.026,0.0445,0.069,0.0528,0.0411,0.0314,0.0253,0.1188,0.6066,0.8002,0.8633,0.8317,0.9108,0.8572,0.7017,0.7593,0.7649,0.6812,0.2209,0.2808,0.33,0.3766,0.3876,0.3925,0.3482,0.0831,0.1252,0.1476,0.1666,0.1331,0.1089
15,1670,PH,0.0184,0.0184,0.0343,0.0534,0.041,0.0298,0.0228,0.0171,0.091,0.4289,0.5526,0.593,0.5828,0.6367,0.5962,0.5059,0.5499,0.5513,0.4925,0.1632,0.2082,0.2453,0.2802,0.2878,0.2945,0.2625,0.0618,0.0944,0.1121,0.1237,0.1031,0.0809
16,134,PH,0.0164,0.0156,0.026,0.0396,0.0309,0.0228,0.0172,0.0127,0.0612,0.3928,0.5618,0.6039,0.5593,0.6202,0.5793,0.4324,0.4758,0.4835,0.4198,0.0945,0.1275,0.1579,0.1853,0.1971,0.2003,0.1738,0.0302,0.0507,0.063,0.0734,0.0574,0.0439
17,4450,PH,0.0523,0.0585,0.0721,0.0894,0.089,0.0867,0.0912,0.0905,0.1372,0.2506,0.2881,0.3184,0.3511,0.3774,0.3716,0.3786,0.4046,0.4151,0.4064,0.2647,0.2974,0.3205,0.3542,0.3631,0.3699,0.3415,0.1888,0.1986,0.2147,0.2285,0.1822,0.1662
18,2438,PH,0.0143,0.0149,0.0247,0.0385,0.0319,0.0254,0.0203,0.015,0.0726,0.2833,0.3593,0.406,0.4053,0.4522,0.4263,0.3555,0.3936,0.3978,0.3552,0.1037,0.1333,0.159,0.1825,0.1896,0.194,0.1681,0.0404,0.0575,0.0679,0.0772,0.0618,0.0496
19,3782,PH,0.0194,0.0193,0.0365,0.0595,0.0458,0.0351,0.0276,0.02,0.1002,0.4677,0.6109,0.6775,0.6568,0.7333,0.6884,0.5541,0.6069,0.6067,0.5395,0.1536,0.2003,0.2389,0.274,0.2848,0.2903,0.2553,0.0549,0.0854,0.1006,0.1136,0.0926,0.0728
20,3362,PH,0.0126,0.0112,0.0221,0.0316,0.0249,0.0205,0.0154,0.0111,0.0449,0.188,0.2545,0.2753,0.2642,0.2948,0.278,0.2217,0.2456,0.2488,0.2218,0.0566,0.0738,0.0889,0.1025,0.1068,0.1086,0.0944,0.0227,0.0312,0.0354,0.0413,0.0328,0.0257
21,2594,PH,0.0113,0.0098,0.0134,0.0183,0.0132,0.0112,0.0085,0.0045,0.0228,0.0888,0.1152,0.1316,0.1308,0.1467,0.1397,0.1127,0.1256,0.1307,0.1176,0.0349,0.0441,0.0515,0.0606,0.0625,0.064,0.0568,0.0168,0.0223,0.027,0.0305,0.0227,0.0194
22,1570,PH,0.018,0.0216,0.044,0.064,0.0538,0.0441,0.0352,0.0251,0.1025,0.3295,0.4023,0.4453,0.4287,0.4848,0.4567,0.3566,0.3926,0.3963,0.3513,0.0968,0.1268,0.1562,0.1803,0.1898,0.1933,0.1711,0.0393,0.0609,0.0736,0.0821,0.0652,0.053
23,290,PH,0.0399,0.0474,0.0601,0.0757,0.0767,0.0776,0.0823,0.0806,0.1364,0.262,0.3171,0.3726,0.412,0.4509,0.4364,0.4186,0.458,0.4687,0.4415,0.211,0.2461,0.2718,0.3075,0.3195,0.3237,0.2914,0.1388,0.1448,0.1619,0.175,0.1378,0.1217
24,4486,PH,0.0106,0.0098,0.0189,0.0304,0.0235,0.0185,0.0144,0.009,0.0533,0.2913,0.4116,0.4669,0.449,0.5137,0.4837,0.3622,0.4055,0.4106,0.36,0.0833,0.1093,0.1351,0.1578,0.1653,0.1692,0.1472,0.0301,0.0459,0.0548,0.0621,0.051,0.0402
25,3618,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,546,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1414,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4386,PH,0.0179,0.0179,0.0281,0.0397,0.0339,0.0284,0.0241,0.0203,0.0634,0.2355,0.3108,0.3349,0.3292,0.3629,0.3465,0.2937,0.3247,0.3323,0.3053,0.1071,0.1324,0.1536,0.1758,0.1845,0.1872,0.165,0.0579,0.0693,0.0794,0.0895,0.0683,0.0579
29,2338,PH,0.0391,0.0441,0.0734,0.1063,0.0916,0.0774,0.0633,0.0513,0.1528,0.4408,0.5159,0.552,0.5365,0.5837,0.551,0.4651,0.5021,0.5069,0.4586,0.1551,0.1965,0.2345,0.269,0.2825,0.2884,0.2614,0.0745,0.1022,0.1218,0.1341,0.1089,0.0916
30,3074,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1794,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,PH,0.0732,0.0769,0.0805,0.0885,0.0897,0.0871,0.0891,0.0878,0.1078,0.1422,0.1559,0.1671,0.1708,0.1788,0.1667,0.1646,0.1753,0.1762,0.1642,0.1206,0.1328,0.1367,0.148,0.1469,0.1489,0.1402,0.1021,0.1076,0.1103,0.1126,0.099,0.0902
33,3842,PH,0.0619,0.0743,0.0838,0.0988,0.1081,0.1161,0.1324,0.1415,0.175,0.2181,0.2476,0.2877,0.3254,0.3419,0.3429,0.3508,0.3695,0.3768,0.372,0.2835,0.3063,0.3147,0.3442,0.3459,0.3518,0.3354,0.2313,0.2271,0.2405,0.2533,0.2099,0.1945
34,3970,PH,0.025,0.0275,0.0433,0.0615,0.0517,0.0435,0.0369,0.0267,0.0785,0.3597,0.526,0.5672,0.501,0.5765,0.5279,0.3794,0.4174,0.4233,0.3631,0.0925,0.1232,0.1493,0.1751,0.1847,0.1883,0.1671,0.0358,0.0544,0.0655,0.0738,0.0572,0.0443
35,2946,PH,0.0315,0.0339,0.0476,0.0619,0.0609,0.0586,0.0608,0.055,0.103,0.1962,0.2279,0.2676,0.2855,0.3179,0.3094,0.2862,0.3158,0.3286,0.3079,0.129,0.1552,0.1726,0.1984,0.2079,0.2117,0.1913,0.0812,0.0858,0.0989,0.108,0.0841,0.0741
36,4482,PH,0.0259,0.0278,0.0472,0.0688,0.0595,0.0508,0.0444,0.0347,0.0949,0.294,0.3698,0.4052,0.3945,0.4415,0.4171,0.3373,0.3672,0.3742,0.3362,0.1054,0.1326,0.1549,0.1784,0.1884,0.1929,0.1731,0.0493,0.0639,0.0766,0.0851,0.0658,0.0545
37,386,PH,0.0288,0.0315,0.0483,0.0663,0.0589,0.0519,0.0474,0.0392,0.0953,0.2823,0.3489,0.3829,0.3792,0.4191,0.3999,0.3334,0.3656,0.3742,0.3385,0.1129,0.1412,0.1634,0.1889,0.1982,0.2027,0.1832,0.056,0.0695,0.0822,0.0921,0.0722,0.06
38,2434,PH,0.031,0.0323,0.0542,0.0765,0.0662,0.0589,0.0522,0.0384,0.1125,0.3627,0.4764,0.5159,0.4648,0.5264,0.4865,0.3569,0.3955,0.3982,0.3443,0.096,0.1243,0.1491,0.1724,0.1815,0.1868,0.1655,0.0407,0.058,0.0692,0.078,0.0626,0.0496
39,3581,PH,0.0131,0.0109,0.0193,0.0294,0.0229,0.0169,0.013,0.0087,0.0463,0.3023,0.4196,0.4635,0.4492,0.5009,0.464,0.3776,0.4179,0.4185,0.3677,0.0893,0.1181,0.1475,0.1703,0.1797,0.184,0.1604,0.0309,0.0484,0.0584,0.0663,0.0526,0.0434
40,3458,PH,0.0297,0.0335,0.054,0.075,0.0651,0.0553,0.0486,0.0366,0.1009,0.3741,0.5345,0.596,0.5423,0.631,0.5778,0.4065,0.4517,0.4549,0.3892,0.101,0.1333,0.1607,0.1865,0.1978,0.2026,0.1794,0.0422,0.06,0.0742,0.0835,0.0655,0.0524
41,1410,PH,0.0158,0.0146,0.0211,0.0305,0.0235,0.0183,0.0137,0.0103,0.0421,0.2433,0.3438,0.3731,0.3595,0.3994,0.3776,0.2964,0.3286,0.3314,0.2962,0.0694,0.0935,0.1161,0.1351,0.1434,0.1455,0.1267,0.0234,0.038,0.0458,0.0544,0.0422,0.0334
42,3826,PH,0.023,0.0259,0.0477,0.0749,0.0619,0.0492,0.0393,0.0299,0.1289,0.4347,0.5261,0.5763,0.5901,0.6386,0.6085,0.5392,0.5813,0.5871,0.5378,0.2091,0.2598,0.2989,0.3359,0.345,0.3518,0.3157,0.0956,0.1303,0.1509,0.1664,0.1354,0.113
43,3650,PH,0.0212,0.0256,0.0426,0.0616,0.0529,0.0428,0.0356,0.0279,0.1007,0.3619,0.4531,0.5093,0.5119,0.5674,0.5367,0.4556,0.5021,0.5092,0.4583,0.1502,0.1918,0.2269,0.2615,0.272,0.276,0.2435,0.0678,0.094,0.1104,0.1237,0.0971,0.0822
44,3942,PH,0.02,0.0215,0.0501,0.0801,0.0636,0.0486,0.0364,0.0233,0.1285,0.4601,0.5666,0.6122,0.5805,0.6393,0.6052,0.476,0.5154,0.5206,0.4639,0.1206,0.16,0.1963,0.2286,0.2399,0.2462,0.2195,0.0443,0.0692,0.0862,0.0977,0.0767,0.0599
45,2662,PH,0.0173,0.0183,0.0363,0.0559,0.0476,0.0385,0.0317,0.0235,0.0965,0.2837,0.3371,0.38,0.3907,0.4349,0.4179,0.3516,0.3856,0.3923,0.3552,0.1078,0.1374,0.1652,0.1902,0.199,0.2039,0.1806,0.0455,0.0635,0.078,0.0867,0.0681,0.0564
46,2626,PH,0.0143,0.015,0.0251,0.0373,0.0299,0.0235,0.0195,0.0146,0.0608,0.3353,0.4585,0.4932,0.4771,0.5227,0.4896,0.3969,0.4416,0.4451,0.4028,0.1044,0.1343,0.1635,0.1897,0.2011,0.2021,0.1721,0.0353,0.0527,0.0642,0.0755,0.055,0.0447
47,1090,PH,0.0135,0.0154,0.0386,0.0574,0.0453,0.0353,0.0255,0.0141,0.0865,0.362,0.49,0.5206,0.4758,0.5307,0.4957,0.3697,0.4088,0.4114,0.3626,0.084,0.1143,0.1407,0.1659,0.1736,0.1786,0.1523,0.0262,0.0453,0.0565,0.0632,0.049,0.0392
48,3350,PH,0.0098,0.0087,0.0163,0.0258,0.0196,0.0141,0.011,0.0069,0.0395,0.2494,0.3467,0.3781,0.3574,0.4018,0.3768,0.284,0.3116,0.3169,0.2789,0.0605,0.0812,0.1004,0.1184,0.1237,0.1276,0.1112,0.0205,0.0321,0.0395,0.0459,0.0364,0.0278
49,4302,PH,0.0234,0.0238,0.0408,0.0605,0.0513,0.0407,0.0339,0.0259,0.0922,0.374,0.4844,0.5253,0.5098,0.5597,0.5314,0.4306,0.4735,0.4765,0.4309,0.1259,0.1621,0.1929,0.2217,0.231,0.2359,0.2043,0.0516,0.0727,0.0858,0.0963,0.0756,0.0622
